variablename,sites,samples,replacement
"?Microthyrium (type 8, HdV)",1,15,Other
Abies,72,1822,Abies
Abies alba,23,836,Abies
Acacia,1,1,Acacia
Acer,78,1157,Acer
Achillea,1,1,Achillea
Achillea-type,15,216,Achillea
Aconitum,11,76,Aconitum
Aconitum-type,1,3,Aconitum
"Acrotritia ardua (type 106, HdV)",1,1,Other
Actaea spicata,2,3,Actaea
Actinopeltis undiff.,2,7,Other
Adenostyles alliariae,1,1,Other
Adiantum capillus-veneris,2,2,Other
Adonis aestivalis-type,1,3,Adonis
Adonis aestivalis/A. flammea,1,5,Adonis
Adonis annua-type,1,5,Adonis
Aesculus,2,3,Aesculus
Aethusa cynapium,1,1,Other
Agrimonia,1,1,Agrimonia
Agrostemma githago,10,29,Agrostemma githago
Ailanthus,2,10,Ailanthus
Alchemilla,5,23,Alchemilla
Alchemilla-type,4,56,Alchemilla
Algae,7,18,Algae
"Algae (type 209, HdV)",1,1,Algae
"Algae? (type 225, HdV)",1,1,Algae
Alisma,13,51,Alisma
Alisma plantago-aquatica,1,8,Alisma
Allium,3,46,Allium
Allium-type,4,6,Allium
Alnus,79,3219,Alnus
Alnus glutinosa,1,20,Alnus
Alnus glutinosa-type,5,172,Alnus
Alnus glutinosa/A. incana,1,94,Alnus
Alnus undiff.,1,130,Alnus
Alnus viridis,8,190,Alnus
Alnus viridis-type,1,5,Alnus
"Alona rustica (type 72, HdV)",1,1,Other
Amaranthaceae,85,1977,Amaranthaceae
Ambrosia,5,6,Ambrosia
Ambrosia-type,5,26,Ambrosia
Amphitrema,5,119,Amphitrema
Amphitrema sp.,1,2,Amphitrema
Amphitrema undiff.,1,1,Amphitrema
Amphitrema wrightianum,5,18,Amphitrema
Anagallis,2,3,Anagallis
Anagallis arvensis,1,2,Anagallis
Anagallis arvensis-type,2,7,Anagallis
Anagallis tenella-type,1,1,Anagallis
Anagallis-type,1,1,Anagallis
Anchusa/Pulmonaria,1,1,Other
Andromeda,1,1,Other
Andromeda polifolia,1,3,Other
Androsace elongata-type,2,11,Other
Androsace-type,1,1,Other
Anemone,1,2,Anemone
Anemone hepatica,1,1,Anemone
Anemone nemorosa group,1,1,Anemone
Anemone nemorosa-type,15,108,Anemone
Anemone sect. Hepatica-type,1,1,Anemone
Anemone sect. Pulsatilla,5,13,Anemone
Anemone-type,19,89,Anemone
Anthemis arvensis-type,1,16,Anthemis
Anthemis-type,13,331,Anthemis
Anthericum,3,6,Anthericum
Anthericum-type,1,4,Anthericum
Anthoceros,5,17,Anthoceros
Anthoceros laevis,5,12,Anthoceros
Anthoceros laevis-type,1,1,Anthoceros
Anthoceros punctatus-type,1,1,Anthoceros
"Anthostomella cf. A. fuegiana (type 4, HdV)",1,5,Fungi
Anthostomella fuegiana,1,1,Fungi
Anthriscus caucalis,1,1,Anthriscus caucalis
Anthriscus sylvestris,1,8,Anthriscus sylvestris
Anthriscus sylvestris-type,4,24,Anthriscus sylvestris-type
Anthriscus-type,1,1,Anthriscus-type
Anthyllis,2,4,Anthyllis
Aphanes,1,1,Aphanes
Apiaceae,70,1767,Apiaceae
Apiaceae undiff.,15,331,Apiaceae undiff.
Apium,1,1,Apium
Apium inundatum-type,1,1,Apium inundatum-type
Apium-type,1,30,Apium-type
Araneae,1,1,Araneae
Arcella,14,79,Arcella
Arcella cf. A. megastoma,1,2,Arcella cf. A. megastoma
Arcella discoides,2,6,Arcella discoides
Arcella sp.,2,5,Arcella sp.
Archerella flavum,20,190,Fungi
"Archerella flavum (type 31A, HdV)",1,26,Fungi
Arctium,1,1,Arctium
Arctostaphylos uva-ursi,1,5,Arctostaphylos uva-ursi
Arctostaphylos uva-ursi-type,1,1,Arctostaphylos uva-ursi-type
Arctous alpina,1,1,Arctous alpina
Arenaria,6,8,Arenaria
Arenaria serpyllifolia-type,1,1,Arenaria serpyllifolia-type
Armeria,4,11,Armeria
Armeria maritima (type A),2,3,Armeria
Armeria maritima (type B),2,3,Armeria
Armeria maritima-type,1,1,Armeria
Arnica montana,1,2,Arnica montana
Artemisia,87,3419,Artemisia
Arthrodesmus,1,4,Arthrodesmus
Aruncus,1,1,Aruncus
Ascaris,3,13,Ascaris
Ascaris lumbricoides,1,2,Ascaris lumbricoides
Ascomycota,4,53,Ascomycota
Ascospora,1,7,Ascospora
Aspiromitus punctatus,13,38,Aspiromitus punctatus
Asplenium,1,1,Asplenium
Asplenium-type,1,1,Asplenium-type
Assulina,6,30,Assulina
Assulina muscorum,7,189,Assulina muscorum
Assulina seminulum,3,51,Assulina seminulum
Assulina sp.,2,31,Assulina sp.
Aster-type,9,152,Aster-type
Asteraceae,13,134,Asteraceae
Asteroideae,65,1119,Asteroideae
Asteroideae undiff.,2,43,Asteroideae undiff.
Asterosporium,1,1,Asterosporium
Astragalus alpinus-type,1,1,Astragalus alpinus-type
Astragalus danicus-type,3,8,Astragalus danicus-type
Astragalus exscapus,1,2,Astragalus exscapus
Astragalus-type,6,15,Astragalus-type
Astrantia major,1,1,Astrantia major
Astrantia-type,4,8,Astrantia-type
Athyrium,2,36,Athyrium
Athyrium filix-femina,6,20,Athyrium filix-femina
Athyrium-type,1,1,Athyrium-type
Avena-type,23,325,Avena-type
Avena/Triticum-type,1,2,Avena/Triticum-type
Bambusa-type,1,2,Bambusa-type
Barbarea-type,17,186,Barbarea-type
Betula,83,3727,Betula
Betula nana,8,177,Betula
Betula nana-type,1,42,Betula
Betula pubescens,1,29,Betula
Betula pubescens-type,2,80,Betula
Bidens,12,83,Bidens
Bidens-type,3,3,Bidens-type
Bistorta,3,10,Bistorta
Bistorta officinalis,23,121,Bistorta officinalis
Bistorta officinalis-type,25,139,Bistorta officinalis-type
Blechnum,2,2,Blechnum
Boraginaceae,12,37,Boraginaceae
Botrychium,44,231,Botrychium
Botryococcus,22,475,Botryococcus
Botryococcus braunii,11,148,Botryococcus braunii
Botryococcus neglectus,3,7,Botryococcus neglectus
Botryococcus pila,3,18,Botryococcus pila
Botryococcus sp.,3,21,Botryococcus sp.
"Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)",1,2,"Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)"
"Brachysporium pendulisporum (type 360, HdV)",1,1,"Brachysporium pendulisporum (type 360, HdV)"
Brassica,1,30,Brassica
Brassicaceae,65,1163,Brassicaceae
Brassicaceae undiff.,1,22,Brassicaceae undiff.
Brassicaceae-type,6,153,Brassicaceae-type
Bruckenthalia-type,1,5,Bruckenthalia-type
Bryales,40,614,Bryales
Bryonia alba/Helianthemum,1,27,Bryonia alba/Helianthemum
Bryophyta,10,203,Bryophyta
"Bryophyta (type 354, HdV)",2,4,"Bryophyta (type 354, HdV)"
Bupleurum,5,11,Bupleurum
Bupleurum falcatum-type,1,2,Bupleurum falcatum-type
Bupleurum-type,5,8,Bupleurum-type
Butomus,6,37,Butomus
Butomus umbellatus,1,1,Butomus umbellatus
Butomus-type,1,2,Butomus-type
Byssothecium circinans,3,20,Byssothecium circinans
"Byssothecium circinans (type 16A, HdV)",1,3,"Byssothecium circinans (type 16A, HdV)"
"Byssothecium circinans (type 16B, HdV)",1,1,"Byssothecium circinans (type 16B, HdV)"
"Byssothecium circinans (type 16C, HdV)",3,38,"Byssothecium circinans (type 16C, HdV)"
Calla,1,3,Calla
Callitriche,2,11,Callitriche
Calluna,27,356,Calluna
Calluna vulgaris,57,895,Calluna vulgaris
Caltha,4,25,Caltha
Caltha palustris-type,1,1,Caltha palustris-type
Caltha-type,45,365,Caltha-type
Calystegia,7,14,Calystegia
Campanula,45,239,Campanula
Campanula rapunculoides,1,3,Campanula rapunculoides
Campanula-type,7,19,Campanula-type
Campanula/Phyteuma,1,3,Campanula/Phyteuma
Campanulaceae,5,10,Campanulaceae
Cannabis sativa,7,95,Cannabis sativa
Cannabis-type,11,180,Cannabis-type
Cardamine,2,46,Cardamine
Cardamine pratensis-type,13,163,Cardamine pratensis-type
Cardamine-type,19,151,Cardamine-type
Carduus,12,44,Carduus
Carex,1,7,Carex
Carpinus,65,1148,Carpinus
Carpinus betulus,26,620,Carpinus
Carpinus-type,1,130,Carpinus
Carum carvi,1,1,Carum carvi
Carya,4,37,Carya
Caryophyllaceae,28,288,Caryophyllaceae
Caryophyllaceae undiff.,1,30,Caryophyllaceae undiff.
"Caryospora sp. (type 1001, HdV)",1,1,"Caryospora sp. (type 1001, HdV)"
Castanea,4,18,Castanea
Castanea sativa,1,1,Castanea sativa
Castanea-type,3,15,Castanea-type
Cedrus,1,2,Cedrus
Cedrus-type,1,1,Cedrus-type
Centaurea,11,35,Centaurea
Centaurea alpina-type,1,3,Centaurea
Centaurea cyanus,62,432,Centaurea
Centaurea cyanus-type,7,35,Centaurea
Centaurea jacea,11,57,Centaurea
Centaurea jacea-type,31,136,Centaurea
Centaurea jacea/C. stoebe,1,14,Centaurea
Centaurea montana-type,1,1,Centaurea
Centaurea nigra-type,2,2,Centaurea
Centaurea scabiosa,22,74,Centaurea
Centaurea scabiosa-type,7,14,Centaurea
Centaurea sp.,1,2,Centaurea
Centaurea stoebe,1,3,Centaurea
Centaurea stoebe-type,2,7,Centaurea
Centaurea undiff.,7,13,Centaurea
Centropyxis,1,2,Centropyxis
Centropyxis aculeata,1,1,Centropyxis aculeata
Cerastium,3,12,Cerastium
Cerastium arvense-type,6,18,Cerastium arvense-type
Cerastium cerastoides-type,6,27,Cerastium cerastoides-type
Cerastium fontanum-type,1,7,Cerastium fontanum-type
Cerastium-type,5,29,Cerastium-type
Ceratophyllum,6,130,Ceratophyllum
"Cercophora sp. (type 112, HdV)",1,12,"Cercophora sp. (type 112, HdV)"
Cerinthe,2,3,Cerinthe
Cerinthe minor,1,1,Cerinthe minor
"cf. Actinopeltis (type 8C, HdV)",1,12,"cf. Actinopeltis (type 8C, HdV)"
cf. Androsace,1,2,cf. Androsace
cf. Diphasiastrum-type,1,1,cf. Diphasiastrum-type
"cf. Endophragmia (type 572, HdV)",2,18,"cf. Endophragmia (type 572, HdV)"
cf. Entophlyctis lobata,3,47,cf. Entophlyctis lobata
cf. Helianthemum,1,1,cf. Helianthemum
cf. Lamiaceae,1,19,cf. Lamiaceae
cf. Lobelia,1,1,cf. Lobelia
cf. Papaver,1,10,cf. Papaver
cf. Pedicularis,2,10,cf. Pedicularis
cf. Penium,1,2,cf. Penium
"cf. Persiciospora (type 124, HdV)",1,1,"cf. Persiciospora (type 124, HdV)"
cf. Riccia,1,2,cf. Riccia
"cf. Richonia variospora (type 140, HdV)",2,15,"cf. Richonia variospora (type 140, HdV)"
"cf. Spadicoides bina (type 98, HdV)",1,1,"cf. Spadicoides bina (type 98, HdV)"
"cf. Trichocladium opacum (type 10, HdV)",1,49,"cf. Trichocladium opacum (type 10, HdV)"
"cf. Trichoglossum hirsutum (type 77B, HdV)",1,98,"cf. Trichoglossum hirsutum (type 77B, HdV)"
Chaerophyllum,1,1,Chaerophyllum
Chaerophyllum hirsutum,2,5,Chaerophyllum hirsutum
Chaerophyllum hirsutum-type,6,45,Chaerophyllum hirsutum-type
"Chaetomium sp. (type 7A, HdV)",1,7,"Chaetomium sp. (type 7A, HdV)"
Chaetomium undiff.,1,1,Chaetomium undiff.
Chamaenerion,6,42,Chamaenerion
Chamaenerion angustifolium,12,28,Chamaenerion angustifolium
Chamaenerion angustifolium-type,1,2,Chamaenerion angustifolium-type
Charcoal,9,867,Charcoal
Chelidonium,3,6,Chelidonium
Chelidonium majus,1,2,Chelidonium majus
Chironomidae,2,4,Chironomidae
Chlamydomonadaceae,1,2,Chlamydomonadaceae
Chrysophyceae,1,1,Chrysophyceae
Chrysosplenium,20,88,Chrysosplenium
Chrysosplenium-type,4,24,Chrysosplenium-type
Cicatricosporites australiensis,1,1,Cicatricosporites australiensis
Cichorioideae,81,1869,Cichorioideae
Cicuta virosa,2,11,Cicuta virosa
Circaea,9,13,Circaea
Cirsium,12,52,Cirsium
Cirsium-type,41,416,Cirsium-type
Cirsium/Carduus,4,49,Cirsium/Carduus
Cladium mariscus,2,7,Cladium mariscus
Cladocera,1,5,Cladocera
"Clasterosporium caricinum (type 126, HdV)",1,37,"Clasterosporium caricinum (type 126, HdV)"
Clematis,1,3,Clematis
Closterium,2,3,Closterium
Closterium undiff.,1,2,Closterium undiff.
Coelastrum reticulatum,5,50,Coelastrum reticulatum
Comarum,18,337,Comarum
Comarum palustre,2,20,Comarum palustre
Comarum-type,4,36,Comarum-type
Coniferae-type,1,8,Coniferae-type
Coniochaeta cf. C. ligniaria,2,103,Coniochaeta cf. C. ligniaria
"Coniochaeta ligniaria (type 172, HdV)",1,9,"Coniochaeta ligniaria (type 172, HdV)"
Coniochaeta xylariispora,2,56,Coniochaeta xylariispora
Consolida regalis,1,2,Consolida regalis
Consolida-type,6,32,Consolida-type
Convallaria,1,1,Convallaria
Convolvulus,7,22,Convolvulus
Convolvulus arvensis,9,46,Convolvulus arvensis
Convolvulus-type,1,1,Convolvulus-type
Copepoda,8,64,Copepoda
Cornus,8,9,Cornus
Cornus mas,10,72,Cornus
Cornus sanguinea,17,50,Cornus
Cornus suecica,1,1,Cornus
Coronilla undiff.,1,1,Coronilla undiff.
Corylus,68,2273,Corylus
Corylus avellana,26,1107,Corylus avellana
Crataegus,1,1,Crataegus
Crataegus-type,2,7,Crataegus-type
Crupina,1,1,Crupina
Cryptomeria,1,3,Cryptomeria
Cupressaceae,2,11,Cupressaceae
Cuscuta,8,64,Cuscuta
Cuscuta epithymum,1,10,Cuscuta epithymum
Cuscuta europaea-type,2,31,Cuscuta europaea-type
Cyperaceae,84,3751,Cyperaceae
Cystopteris,1,2,Cystopteris
Daphne,3,8,Daphne
Daucus,1,1,Daucus
Daucus carota,1,1,Daucus carota
Daucus-type,11,320,Daucus-type
Delitschia,1,1,Delitschia
Descurainia sophia,1,1,Descurainia sophia
Desmidiaceae,3,48,Desmidiaceae
Desmidiales,1,1,Desmidiales
Dianthus,3,3,Dianthus
Dianthus-type,4,25,Dianthus-type
Difflugia,1,2,Difflugia
Digitalis purpurea-type,1,1,Digitalis purpurea-type
Dinoflagellata,4,88,Dinoflagellata
Dinoflagellata undiff.,1,9,Dinoflagellata undiff.
Diphasiastrum alpinum,1,30,Diphasiastrum alpinum
Diphasiastrum alpinum-type,1,7,Diphasiastrum alpinum-type
Diphasiastrum complanatum,1,2,Diphasiastrum complanatum
Diporotheca,8,68,Diporotheca
Dipsacoideae,3,4,Dipsacoideae
Dipsacus,3,5,Dipsacus
Drosera,15,20,Drosera
Drosera intermedia,1,5,Drosera intermedia
Drosera rotundifolia,6,16,Drosera rotundifolia
Drosera rotundifolia-type,1,4,Drosera rotundifolia-type
Dryas octopetala,3,15,Dryas octopetala
Dryas-type,1,1,Dryas-type
Dryopteris,2,67,Dryopteris
Dryopteris carthusiana-type,1,2,Dryopteris carthusiana-type
Dryopteris dilatata-type,2,2,Dryopteris dilatata-type
Dryopteris filix-mas-type,4,8,Dryopteris filix-mas-type
Dryopteris-type,20,744,Dryopteris-type
Echinops,1,2,Echinops
Echium,18,40,Echium
Echium vulgare,2,3,Echium vulgare
Echium-type,2,2,Echium-type
Elatine,7,13,Elatine
Elymus-type,1,2,Elymus-type
Empetrum,3,5,Empetrum
Empetrum nigrum-type,1,89,Empetrum nigrum-type
Empetrum-type,6,50,Empetrum-type
Encalypta-type,1,1,Encalypta-type
Engelhardia-type,2,19,Engelhardia-type
Entophlyctis lobata,8,59,Entophlyctis lobata
Entorrhiza sp. (type HdV-527),1,3,Entorrhiza sp. (type HdV-527)
Ephedra,6,21,Ephedra
Ephedra cf. E. distachya,1,7,Ephedra cf. E. distachya
Ephedra cf. E. foeminea,3,7,Ephedra cf. E. foeminea
Ephedra cf. E. fragilis,1,1,Ephedra cf. E. fragilis
Ephedra distachya,10,35,Ephedra distachya
Ephedra distachya-type,9,30,Ephedra distachya-type
Ephedra foeminea,1,1,Ephedra foeminea
Ephedra foeminea-type,3,6,Ephedra foeminea-type
Ephedra fragilis,4,25,Ephedra fragilis
Ephedra fragilis-type,10,37,Ephedra fragilis-type
Epilobium,42,150,Epilobium
Epilobium-type,3,9,Epilobium-type
Epipactis,1,1,Epipactis
Equisetaceae,1,1,Equisetaceae
Equisetum,74,1686,Equisetum
Eranthis hyemalis-type,1,1,Eranthis hyemalis-type
Erica ciliaris-type,1,2,Erica ciliaris-type
Ericaceae,21,202,Ericaceae
Ericaceae undiff.,7,44,Ericaceae undiff.
Ericales,3,207,Ericales
Ericales undiff.,1,118,Ericales undiff.
Eriophorum,1,1,Eriophorum
Erodium,4,5,Erodium
Eryngium,2,31,Eryngium
Eryngium-type,1,1,Eryngium-type
Euglypha,8,66,Euglypha
Eunotia sp.,1,1,Eunotia sp.
Euonymus,12,28,Euonymus
Euonymus europaeus,1,5,Euonymus europaeus
Euphorbia,13,18,Euphorbia
Euphorbia-type,1,5,Euphorbia-type
Euphorbiaceae,1,3,Euphorbiaceae
Euphrasia,2,2,Euphrasia
Euphrasia-type,2,3,Euphrasia-type
Fabaceae,51,350,Fabaceae
Fabaceae undiff.,1,5,Fabaceae undiff.
Faboideae,3,5,Faboideae
Fagopyrum,23,46,Fagopyrum
Fagopyrum esculentum,1,3,Fagopyrum esculentum
Fagopyrum-type,4,12,Fagopyrum-type
Fagus,75,2328,Fagus
Fagus sylvatica,11,438,Fagus sylvatica
Falcaria vulgaris,1,1,Falcaria vulgaris
Falcaria-type,1,3,Falcaria-type
Fallopia convolvulus,3,3,Fallopia convolvulus
Fallopia convolvulus-type,3,3,Fallopia convolvulus-type
Fallopia convolvulus/F. dumetorum,1,9,Fallopia convolvulus/F. dumetorum
Filinia longiseta,1,22,Filinia longiseta
Filipendula,81,2359,Filipendula
Filipendula ulmaria/F. vulgaris,1,18,Filipendula ulmaria/F. vulgaris
Frangula,27,188,Frangula
Frangula alnus,38,327,Frangula alnus
Fraxinus,68,1293,Fraxinus
Fraxinus excelsior,14,484,Fraxinus excelsior
Fraxinus ornus,1,1,Fraxinus ornus
Fumaria-type,1,2,Fumaria-type
Fungi,6,116,Fungi
"Fungi (type 11, HdV)",1,3,"Fungi (type 11, HdV)"
"Fungi (type 123, HdV)",1,2,"Fungi (type 123, HdV)"
"Fungi (type 17, HdV)",2,11,"Fungi (type 17, HdV)"
"Fungi (type 173, HdV)",1,1,Fungi
"Fungi (type 18, HdV)",3,47,"Fungi (type 18, HdV)"
"Fungi (type 19, HdV)",2,4,"Fungi (type 19, HdV)"
"Fungi (type 20, HdV)",2,4,"Fungi (type 20, HdV)"
"Fungi (type 200, HdV)",2,30,"Fungi (type 200, HdV)"
"Fungi (type 23, HdV)",2,5,"Fungi (type 23, HdV)"
